SpeedLabel 倍速
CurveChooseLabel1 选择
CurveChooseLabel2 选择
CurveEasingLabel 曲线类型
CurveNoteLabel 音符种类
CurveRateLabel 密度
SaveHintLabel 已执行曲线填充

ViewPicLabel 配置缩略图
DivLabel 竖条拍数
y0Label 底边高度
vwLabel 竖条宽度
vgLabel 竖条间隔
lvLabel 音符x下界
rvLabel 音符x上界
wvLabel 音符半宽度
hvLabel 音符半高度
svLabel 数字大小
pvLabel 每小节拍数
ovLabel 显示为拍数
yvLabel 跟随总进度条

ReturnLabel 返回
SaveLabel9 保存谱面
PreviewLabel 播放谱面
PecLabel 导出为旧pec
ReChartLabel 重载谱面
InChartLabel 导入谱面
LanLabel 语言Language
QuitHint 警告：未保存的谱面将丢失！
CancelQuitLabel 取消退出
switchLabel1 常规
switchLabel2 热键
switchLabel3 其他
switchLabel4 纠错相关
switchLabel5 关于
switchLabel6 其他2

ConfirmLabel7 确认
SaveHint5 已保存设置
MusicVolumeLabel 音乐音量
SEVolumeLabel 音效音量
HighLabel 高亮等时音符
HighReLabel 刷新高亮度
WindowLabel 窗口大小(等比于1920:1080)
NoteSizeLabel 音符宽度
LineSizeLabel 判定线默认宽度
ShowNumberLabel 标注判定线数字
LineColorLabel 判定线默认颜色
BackAlphaLabel 背景亮度
TapOffsetLabel 打击音延迟1(Tap/Flick)
DragOffsetLabel 打击音延迟2(Drag)

AutoSaveLabel 自动保存(间隔秒数)
ScrollSpeedLabel 鼠标滚轮速度
ScrollControlLabel 事件微调速度
BackAlphaLabel 实时背景透明度倍率
PreViewLabel 预览窗口大小
SaveEditingLabel 自动保存部分编辑
AutoCtrlLabel 自动移入剪切板
CrushNiceLabel 保持XY事件绑定 (警告!)
TipsOnLabel 开启Tips
UndoJumpLabel 撤回与重做时自动跳转
AutoStickLabel 编辑事件自动后粘合
CutRhoLabel 切割密度/横线
EventDrawLabel 绘制事件曲线
EventNumLabel 显示事件数字
BarWidthLabel 线条宽度
BarAlphaLabel 线条透明度

AboutLabel1 Re:PhiEdit v1.4.0
AboutLabel2 -
AboutLabel3 -

XlimLabel X大小阈值
OverLapLabel 碰撞距离
TimeShortLabel 读谱时间下界/秒
DragLimLabel Drag警告距离/秒
FlickLimLabel 组合时间上界/秒


PrefabEventLabel 预制事件
InputName 预制件名称
InputName2 标识名（仅允许英文，数字及下划线）
InputAuthor 作者
InputIntro 简要描述

EventVisLabel 事件取样
HengGapLabel 横向间隔
ShuGapLabel 纵向间隔
BarAlphaLabel1 格线透明度

ScrollAccLabel 开启滚轮加速度

FontLabel 字体

ShowKeyLabel 显示按键
AttachScrollLabel 时间吸附到横线
GapSelectLabel 间隔多选
ClickMenuLabel 右键菜单
LineSelectLabel 划线多选
HisSizeLabel 历史记录大小
ShowDensityLabel 显示密度条

MultiLineMainLabel 多线编辑
OpenMultiLabel 启用多线编辑
MultiVecLabel 线号列表
MultiEventLabel 编辑事件
HideXYLabel 隐藏移动事件
HideRLabel 隐藏旋转事件
HideALabel 隐藏透明度事件
HideVLabel 隐藏速度事件
MultiScaleLabel 缩放
